
Abelmann 
Abend 
Abke 
Ableiter 
Abt 
Achelpohl 
Achenbach 
Ackerman 
Acord 
Adams 
Addison 
Adney 
Ahland 
Ahlborn 
Ahlbrand 
Ahlemeyer 
Ahlert 
Ahnepohl 
Ahrens 
Ahringsmann 
Ahring 
Ahringsmann 
Ahrling 
Akbulut 
Albers 
Albert 
Albes 
Albrecht 
Aldenhagen 
Alexander 
Alfred 
Allebe 
Allemeyer 
Allendorf 
Allewald 
Allewelt 
Allington 
Almquist 
Altehof 
Altevogt 
Althof 
Althoff 
Amann 
Ames 
Ammering 
Amsinga 
zu Amtern 
Anderson 
Andrä 
Anheuser 
Annen 
Apitz 
Appel 
Appelbaum 
Arduser 
Arenes 
Arensmann 
Aring 
Arkebauer 
Armold 
Arning 
Arnold 
Arns 
Arnz 
Asmann 
Feldmann 
Aßmann 
Aubert 
Aubuchon 
Auerswald 
Auf der Heide 
Aufdemberg 
Aufderhaide 
Aufderheide 
Aufdermasch 
Auhntrup 
Aulbert 
Aulbrand 
Aulwes 
Aumüller 
Aumüller 
Schlye 
Auntrup 
Ausmann 
Averbeck 
Baart 
Backhaus 
Baesman 
Bahden 
Bailie 
Bäke 
Baker 
Balagen 
Baldner 
Balke 
Ballmann 
Balmann 
Bälner 
Balschmidt 
Balshüsemann 
Balsmeier 
Balsmeyer 
von Bandel 
Bandermann 
Bandowski 
Bankey 
Bar 
de Bar 
von Bar 
Bar vom Hassebrock 
Bardaux 
Barenschmedt 
Barenschmidt 
Barfield 
Bargholz 
Baringhaus 
Barkhau 
Barlhardt 
Barnes 
Barnhart 
Barre 
Barrelmeyer 
Barrelmeyer 
Bröker 
Barringer 
Bartelheim 
Bartelmeyer 
Bartelmuß 
Bartels 
Bartelt 
Barth 
Barth 
Plogstert 
Barthel 
Barthold 
Barz 
Baseman 
Baß 
Bauer 
Baum 
Baumann 
Baumeyer 
Baumgart 
Baumgartner  
Baumhöfener 
Baute 
Bean 
Beauchemin 
Beck 
Becker 
Becker 
Wittefeld 
Beckereit 
Beckermann 
Beckmann 
Terkhorn 
Beerman 
Beermann 
Beermann 
Zellmeyer 
Beguhl 
Behrens 
Behrman 
Behrmann 
Bei der Kellen 
Beiderkellen 
Beincker 
Beining 
Beinkämpen 
Beinkemeier 
Beinkemeyer 
Beinker 
Beins 
Bela 
Belter 
Belter 
Lepper 
Bender 
Benhon 
Benker 
Benkert 
Bentinck 
Benz 
Benzel 
Berendt 
Berens 
Berger 
Bergfeld 
Bergheger 
Berghof 
Bergman 
Bergmann 
Bergmeier 
Bergsiecker 
Berndt 
Berner 
Bernhard 
Bernhardt 
Bersmann 
Bertelsmann 
Besselmann 
Bessmann 
Best 
Bethmann 
Bettfort 
Bettin 
Bettinghaus 
Bettinghouse 
Bettinghuß 
Bettmann 
Beveckenhorn 
Große Lieker 
Beyer 
Beym Masche 
beym Moore 
Bick 
Biddinger 
Biedinghaus 
Biele 
Bielefeldt 
Bieler 
Bieling 
Bienemann 
Bierbaum 
Bierwirth 
Biest 
Bietendüfel 
Billenkamp 
Bindel 
Birkemeyer 
Schneiker 
Birkmann 
Bischof 
Bischoff 
Black 
Blair 
Blanke 
Blasberg 
Bläute 
Bleis 
Bleyel 
von Blittersdorf 
Block 
Blohme 
Blotenberg 
von Blum 
Bockbrader 
Bockermann 
Bockhöfer 
Böckmann 
Bode 
Bode 
Bud 
Bodeker 
Bödeker 
Böderker 
Boderman 
Boeckmann 
Boehs 
Boese 
Boess 
Bohle 
Böhle 
Bohlmann 
Bohm  
Bohmann 
Böhme 
Böhmer 
Bohne 
Böhne 
Bohnenkämper 
Böhringer 
Böhs 
Böke 
Bölke 
Bollmann 
Böllner 
Bolte 
Böndel 
Bönisch 
Bönitz 
Bonker 
Booth 
Borchelt 
Borcherding 
Borgelt 
Börger 
Borges 
Börges 
Borgmann 
Borgmeier 
Borgmeyer 
Borgstädt 
Borgstedt 
Borgstette 
Börner 
Börringhaus 
von Borstel 
Böskamp 
Bösmann 
Bosse 
Bössenkamp 
Boßmeier 
Bosson 
Bous 
Bovenkamp 
Bowen 
Bower 
In den Boyen 
Bozorgzad 
Bracher 
Bräckerbäumer 
Bracksiek 
Braden 
Braend 
Braens 
Braens 
Raube 
Brakemeier 
Braker 
Braksieker 
Bramme 
Bramsche 
Brand  
Brandes 
Brandewie 
Brandstätter 
Brandt 
Brannagel 
Brantz 
Brauer 
Braus 
Brechler 
Bredeck 
Bredemann 
Bredemeyer 
Bredenstein 
Bredensteiner 
Breder 
Brefordt 
Breidenbach 
v. d. Brelie 
Brenhold 
Brenner 
Brenner  
Brethold 
Bretholt 
Bretscher 
Bretschneider 
Breyer 
Brickenkamp 
Brickley 
Briel 
Briggewatt 
Brinckmann 
Bringewatt 
Brink 
Brinker 
Brinkman 
Brinkmann 
Brinkmann  
Brinkmann de Söltersche 
Brinkmann Springmeyer 
Brinkmann-Hartmann 
Brinkmeier 
Brinkmeyer 
Brinnen 
Brochhagen 
Brock 
Brocka 
Brockbudt 
Brockbutt 
Bröcker 
Brockhoff 
Brockmann 
Brockmeier 
Brockmeyer 
Brockschmidt 
Broecker 
Broermann 
Broickmann 
Broihan 
Bröker 
Brokhof 
Brokopp 
Brömmelsiek 
Brömstrup 
Bronisch 
Brörmann 
Brosenius 
Brosius 
Broussard 
Brouwers 
Brown 
Brownlee 
to Broxten 
zu Broxten 
Broxtermann 
Broyets 
Bruehler 
Brüggemann 
Brüggensieker 
Brüghofe 
Bruhn 
Bruil 
Brune 
Brüne 
Brünger 
Warrentrup 
Brunhofer 
Bruning 
Brüning 
Brüning aus dem Horst 
Bruning Bruns 
Brunner 
Bruns 
Brunsch 
Brunsmann 
Brutlach 
Bryant 
Buchholz 
Buchtmann 
Buck 
Bückendorf 
Bücker 
Budde 
Buddecke 
Buddeke 
Buddeke 
Volbert 
Buddenberg 
Buddendieck 
Buddendiek 
Buescher 
Bühning 
Bührig 
Bührmann 
Buhrmeister 
Büker 
Buldhaupt 
Büll  
Bulla 
Büllenbrock 
Bullerdick 
Bullerdieck 
Bullerdiek 
Bullock 
Bulthoff 
Bünemann 
Buninch 
Büning 
Bunselmeyer 
Bünte 
Burarendt 
Burhorn 
Burger 
Burke 
Burlage 
Burmann 
Bürmann 
Busch 
Busch 
Eickhoff 
Büscher 
Buschmann 
Buschmeier 
Buschmeyer 
Busmann 
Busse 
Bussendiek 
Bußmann 
Bußmeyer 
But 
Bode 
Butenuth 
Buth 
Butke 
Butke  
Butt 
Byrne 
Cadena 
Cahill 
Calmer 
Campbell 
zu Capellen 
Capellmeyer 
Carlmeyer 
Carlson 
Carstens 
Caßenbrock 
Casting 
Cernota 
Chapman 
Chappell 
Chavel 
Cheslock 
Chriss 
Christofferi 
Church 
Cioffi 
Clark 
Class 
Claus 
Clausing 
Clausmeier 
Clausnitzer 
Claus-Stöhner 
Claustermann 
Clefisch 
Cleimann 
Clemann 
Clever 
Cleverdon 
Cline 
Cole 
Conert 
Cooke 
Cooper 
Cordes 
Cords 
Covault 
Crampe 
Crull 
Crüwel 
Culemann 
Culmann 
Culverwell 
Dahmann 
Dahus 
Daily 
Dälken 
Dallmann 
Dallmeyer 
Kölkebeck 
Westendarp 
Dalmeyer 
Dambacher 
Dammann 
Dammer 
Dammermann 
Damschröder 
Dankel 
Dannemann 
Dannöhl 
Dannöhl  
Darmann 
Dätwyler 
Dautenhahn 
Davider 
Davider 
Davidsmeyer 
Davidter 
Davis 
Decke 
Decken 
Decker 
Dedingmeyer 
Deetz 
Degener 
Deimling 
Deitemeier 
Deitemeyer 
Deitenbach 
Deiters 
Deitingmeyer 
Delkeskamp 
Depenbrock 
Deppe 
des Müllers zu Venne 
Deter 
Detering 
Deterings 
Gärtner 
Deters 
Detersmann 
Detert 
Kuhlenbeck 
Detingmeyer 
Detmer 
Dibbern 
Dickbreder 
Im Dicke 
Dickel 
Dickenhorst 
Dickinson 
Dickriede 
Dickriede-Meyer 
Dütemeyer 
Dieckmann 
Dieckriede 
Diederich 
Diedrich 
Diehl 
Diekbreder 
Diekmann 
Schmedt 
Diembecke 
Diemke 
Diener 
Diephaus 
Diercker 
Dierker 
Diestelhorst 
Dietrich 
Dietze 
Dilger 
Dinkelmann 
Dipley 
Distelhorst 
Dittmer 
Dittmore 
Doak 
Docen 
Doepel 
Doht 
Dolet 
Dölker 
Dölling 
Domhof 
Domhoff 
Domhoff Linne 
Domhoff-Bosse 
Domrich 
Dorfmeier 
Dörmann 
Dörnen 
Dornhegge 
Dorting  
Dörting  
Dötker 
Dragon 
Drees 
Dreier 
Drelmann zu Icker 
Dreschko 
Dresel 
Drever 
Drewel 
Drews 
Dreyer 
Driehaus 
Drifmeier 
Drifmeyer  
Driftmeyer 
Dröge 
Dropmann 
Dröse 
Droste 
Dryhus 
Dübber 
Dübber Meyer 
Dübbert 
Duberg 
Dubois 
Bonclaude 
Düfelsiek 
Düffelmeyer 
Düker 
Butenuth 
Duling 
Duling 
Dulgen 
Dulinge 
Duncalf 
Duncker 
Dunker 
Dunkhorst 
Dunn 
Dupernell 
Dürforth 
Düsing 
Dusse 
Düssthoff 
Düsterberg 
Düsterkötter 
Dustmann 
DuVall 
Düvel 
Düvelsiek 
Duvendack 
Duwen 
Ebbing 
Ebel 
Ebeler 
Ebeling 
Eberhard 
Eberhardt 
Ebermann 
Ebert 
Ebker 
Ebker  
Eckelkamp 
Eckelmann 
Eckert 
Eddy 
Eder 
Eggemann 
Eggemeier 
Eggers 
Eggers  
Eggersmann 
Eggert 
Eggert Michel 
Eggert Niewöhner 
Eggleston 
Ehlemeyer 
Ehlers 
Ehlersmann 
Ehlert 
Ehmann 
Eichmeier 
Eickhof 
Eifler 
Eilert 
Eimers 
Einhaus 
Eisele 
Eismann 
Eistrup 
to Ekestorpe 
Elbert 
Elbrink 
Elert 
Ellebracht 
Ellerbrock 
Ellerkamp 
Ellermann 
Ellinghaus 
Elsner 
Emmerich 
Enckelstoth 
Enckelstroth 
Endker 
Engel 
Engelbeck 
von Engelhardt-Bergshof 
Engeling  
Engelker 
Engelmann 
Walkenhorst 
Engels 
Enneker 
Entrup 
Epke 
Epker 
Erb 
Erck 
